name,price
"Samsung Galaxy A03 Core 6.5"" 2GB,32GB ROM 8MP 5000mAh - Onyx Black",299000
Samsung Galaxy A14 4GBRAM 128GB ROM 50MP 5000Mah - Black,559000
"Samsung Galaxy M04 - 6.5"" 4GB RAM 128B RAM 13MP 5000mAh - Sea Glass Green",465000
"Samsung Galaxy A04E 6.5"" 3GB RAM 64GB ROM 50MP 5000mAh - Black",344900
Samsung USB-C 25W PD Adapter Mobile Phone Charger (3 Pin),39990
"Samsung Galaxy Note20 Ultra 4G 6.9"" 8GB RAM 128GB ROM 108MP - Black",1939000
Samsung Galaxy A34 5G 8GB RAM 128GB - Graphite,919000
"Samsung Galaxy A03 - 6.5"" 3GB RAM 32GB ROM 48MP 5000mAh - Blue",450000
"Samsung Galaxy S9 - 5.8 4GB RAM, 64GB, 12MP Camera, 4G Network, Fingerprint sensor - Blue",1800000
Samsung S8 Silcone Phone Cover + FREE 3D Screenguard - Black,45000
Samsung A12 Silcone Phone Cover + FREE 3D Screenguard - Black,45000
Samsung S10 Plus Silcone Phone Cover + FREE 3D Screenguard - Turquoise,50000
"Samsung Fast Type C Charger  - White, Black",35000
"Samsung Galaxy S10 - 128GB ROM, 8GB RAM, 6.1"" Triple Camera - Black",1380000
Samsung S9 Silcone Phone Cover + FREE 3D Screenguard - Black,50000
Samsung Hard Case for Galaxy S20+,29820
"Samsung M33 5G Case,Silicone  Case Cover + Free Screen Guard -Black",50000
Samsung Galaxy Note 9 128GB ROM 6GB RAM Blue,1350000
"Samsung Galaxy S20+ - 6.7"" 8GB RAM 128GB ROM 64MP - Gray",1900000
Samsung Galaxy A73 5G Silicone Phone Cover+ Screen Guard-Black,50000
Samsung Galaxy Buds 2  - Graphite,370000
Samsung Note 20 Ultra Silcone Phone Cover + FREE 3D Screenguard - Black,55000
"Samsung Galaxy A53 5G 6.5"" 8GB RAM 128GB ROM 48MP 5000mAh - Black",1359000
"Samsung Galaxy S9 Plus (S9+) 6.2-Inch (6GB, 64GB ROM), 12MP + 8MP  - Black",1200000
"Samsung M33 5G Case,Silicone  Case Cover + Free Screen Guard -Blue",50000
Samsung Galaxy Buds Live True Wireless Earbuds Active Noise Cancelling -Black,368000
Samsung TPU Phone Case For Samsung Galaxy S23 Ultra,9050
Samsung Leather Case For Samsung Galaxy A52 5G,31240
Samsung 3 In 1 Rugged Case For Samsung Galaxy S23 Ultra 5G,19570
Samsung Phone Case For Samsung Galaxy S22 Ultra 5G,17030
"Samsung Galaxy A53 5G 6.5"" 6GB RAM 256GB ROM 48MP 5000mAh - Black",1449000
Samsung Galaxy A73 5G Silicone Phone Cover+ Screen Guard-Blue,50000
"Samsung Galaxy S20 6.2"" 8GB RAM 128GB ROM 64MP - Grey",1600000
"Samsung S8 Single SIM 5.8"" 4GB RAM 64GB,12MP Camera - Black",890000
Samsung Ring Kickstand Silicone Case For Samsung Galaxy S23 Ultra 5G,13180
"Samsung Galaxy S9 5.8"" 4GB RAM 64GB 12MP Camera 4G - Blue",990000
"Samsung Galaxy Note 9 - 6.4"", 6GB RAM, 128GB, 12MP Camera - Black",1400000
"Samsung Galaxy S9 - 5.8"" 4GB RAM 64GB 12MP Camera - Black",990000
Samsung Super Fast Dual Car Charger (45W+15W) Two Ports EP-L5300XBEGWW Black,152500
Samsung Sliding Camshield Case For Samsung Galaxy S23 Ultra 5G,15620
